timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-07-12 18:52:08.989390	[-0.031063542902469647, -0.06145846962928769, 1.326]	[-0.1188340427018702, -0.08993017515540123, 1.5130000000000001]	[-0.047625584590248765, 0.22605763292312622, 1.227]
2024-07-12 18:52:09.204297	[-0.043220185842365026, -0.04962665277719498, 1.5290000000000001]	[-0.11222978211566803, -0.045482128957907327, 1.571]	[-0.049424652725458144, 0.22334080481529234, 1.228]
2024-07-12 18:52:09.479694	[-0.035517031453549855, -0.0470591354370117, 1.314]	[-0.1121955792233348, -0.04507692855596542, 1.573]	[-0.0474935975857079, 0.22358637237548826, 1.228]
2024-07-12 18:52:09.755016	[-0.03484102833084762, -0.04634415909647942, 1.315]	[-0.11023557873442769, -0.04137923459211988, 1.57]	[-0.04698802989441902, 0.22643366530537606, 1.225]
2024-07-12 18:52:10.033889	[-0.006614569885656221, -0.12362909969687463, 1.539]	[-0.12851887794211506, -0.11917402535676956, 1.51]	[-0.04458964365441353, 0.23191794759035114, 1.221]
2024-07-12 18:52:10.296632	[0.03727559443563223, -0.08554664838314056, 1.502]	[-0.14483209102414546, -0.12016318014264107, 1.5090000000000001]	[-0.04393538564443589, 0.2340269945859909, 1.222]
2024-07-12 18:52:10.560322	[0.03363724466040731, -0.06960400873422623, 1.5010000000000001]	[-0.14373421508073808, -0.11275402386983234, 1.504]	[-0.04284939240664244, 0.23136222034692766, 1.221]
2024-07-12 18:52:10.836499	[0.03478207779675719, -0.0676936366955439, 1.502]	[-0.14252262254431844, -0.11295462065935136, 1.5090000000000001]	[-0.04147048372216523, 0.2402170673310757, 1.221]
2024-07-12 18:52:11.051236	[0.03662914270162582, -0.06933715824286141, 1.502]	[-0.14258855402469636, -0.11432088428735733, 1.518]	[-0.04078869487345219, 0.23240715640783313, 1.221]
2024-07-12 18:52:11.221998	[0.03771144250407812, -0.06619812887907031, 1.5030000000000001]	[-0.1442456282861531, -0.11725632727146146, 1.53]	[-0.041552021149545905, 0.23318970441818238, 1.22]
2024-07-12 18:52:11.379162	[0.02964828313887116, -0.06187573335568108, 1.502]	[-0.14100108774751427, -0.09795128640532492, 1.5030000000000001]	[-0.04122497571632266, 0.23893261849880218, 1.22]
2024-07-12 18:52:11.600729	[-0.03392140852846204, -0.054015828728675865, 1.299]	[-0.10204677790403364, -0.09126082579294838, 1.52]	[-0.041036436664871875, 0.24125843730568888, 1.221]
2024-07-12 18:52:11.834142	[-0.06536731622368099, -0.10079320907592773, 1.588]	[-0.07486187930032612, -0.10942077996333438, 1.594]	[-0.04261024356633425, 0.23013240316510203, 1.223]
2024-07-12 18:52:11.990600	[-0.007255085371434673, -0.13628219962120053, 1.575]	[-0.13759856305271384, -0.1770073612332344, 1.926]	[-0.04168232357595116, 0.25193584549427034, 1.221]
2024-07-12 18:52:12.147097	[0.013806741714477539, -0.10405140439669293, 1.528]	[-0.13020550940930842, -0.127238254070282, 1.578]	[-0.04176686776801944, 0.2497180664539337, 1.22]
2024-07-12 18:52:12.317451	[0.02003827244415876, -0.0929497783780098, 1.5130000000000001]	[-0.1351349822804332, -0.11805730491876602, 1.553]	[-0.04191802982613445, 0.2451983804404736, 1.221]
2024-07-12 18:52:12.550930	[0.021154746484011413, -0.08627650586764016, 1.5110000000000001]	[-0.1362652747705579, -0.11593496024608611, 1.548]	[-0.04208276035822928, 0.2387888874411583, 1.222]
2024-07-12 18:52:12.769941	[0.023597566634416582, -0.07454187977313999, 1.5030000000000001]	[-0.13735443019866944, -0.10958566284179691, 1.536]	[-0.0416076092608273, 0.233167707324028, 1.22]
2024-07-12 18:52:12.989358	[0.025791847966611384, -0.06809787722428642, 1.502]	[-0.13942120248824358, -0.1039204717874527, 1.526]	[-0.04091673575341701, 0.2330311071872711, 1.22]
2024-07-12 18:52:13.145797	[0.025697266973555125, -0.06863286137580869, 1.5030000000000001]	[-0.1396858796942979, -0.10254413560032846, 1.5250000000000001]	[-0.04085245560854673, 0.23483221471309662, 1.22]
2024-07-12 18:52:13.365204	[0.025773392491042615, -0.06817150953412057, 1.5030000000000001]	[-0.13939417152106764, -0.09928425180912019, 1.516]	[-0.04052609531208873, 0.2336346274614334, 1.22]
2024-07-12 18:52:13.584198	[0.025393100850284137, -0.06833212190866468, 1.5030000000000001]	[-0.13869460411369802, -0.09734018325805666, 1.5150000000000001]	[-0.04053788680583239, 0.22852999556064607, 1.222]
2024-07-12 18:52:13.802699	[0.022260317523032397, -0.05033908236026764, 1.5010000000000001]	[-0.14380020519532263, -0.07492922311027843, 1.5010000000000001]	[-0.04074988991394639, 0.22761978954076767, 1.222]
2024-07-12 18:52:14.038154	[0.05615912466868761, 0.09247723919153214, 1.163]	[-0.22835229683853686, -0.009715124358733462, 1.849]	[-0.039409606346860526, 0.23483713388442992, 1.218]
2024-07-12 18:52:14.194582	[0.09322563635185364, 0.1829238189458847, 1.439]	[-0.3226307408474386, 0.05297531962394714, 2.247]	[-0.03905708137806505, 0.25573074352741243, 1.221]
2024-07-12 18:52:14.364690	[0.07836167514324188, 0.1247815266251564, 1.125]	[-0.32341249441914255, 0.05095056968927392, 2.211]	[-0.03947667672671378, 0.2568656565845013, 1.223]
2024-07-12 18:52:14.520203	[0.07620242479071018, 0.1304648996988932, 1.123]	[-0.3209209823347628, 0.06841603922843942, 2.202]	[-0.0387794503653422, 0.2555378107428551, 1.223]
2024-07-12 18:52:14.739507	[0.07548095878958702, 0.13655867763360346, 1.129]	[-0.3227554881088436, 0.08580635492006947, 2.2520000000000002]	[-0.03849717696849257, 0.2526363850235939, 1.223]
2024-07-12 18:52:14.973541	[0.0756580451577902, 0.142053933719794, 1.127]	[-0.31638753103092315, 0.10051279187202462, 2.19]	[-0.03866471016593278, 0.2562148368060589, 1.223]
2024-07-12 18:52:15.142759	[0.08707537595182661, 0.1846382796764374, 1.425]	[-0.23921040720306336, 0.1234466016292572, 1.825]	[-0.039846504399552944, 0.2424572245180607, 1.221]
2024-07-12 18:52:15.375528	[0.05999737037345765, 0.20958158689737325, 1.209]	[-0.24509376302361488, 0.13957937240600585, 1.84]	[-0.03919520180672407, 0.23979163229465483, 1.22]
2024-07-12 18:52:15.607885	[0.04817599323391914, 0.24405265839894605, 1.214]	[-0.23679170509055258, -0.013410413364569381, 1.849]	[-0.04020288952812553, 0.23104811203479766, 1.222]
2024-07-12 18:52:15.826553	[0.03530781758576634, 0.23285022379954662, 1.213]	[-0.23249958686158062, 0.0186671484708786, 1.837]	[-0.041675889509730044, 0.22763992670178415, 1.223]
